Heading,Review
"Trust me you wont regret (from a 15 day heavy, rough, reckless user. )","Its worth every penny you spent. The camera is awesome but dont start comparing it with pixel 2 XL or iPhone x. Because remember you are paying half the price of those phones. The screen looks awesome and very vibrant despite being only a 1080p display unless you are using a VR headset. Low light photography is actually improved. Build quality is pretty good, feels premium. Dont ask about the performance, its just a killer in that section. I pretty use my phone to a extreme limit like playing music,games,messaging,downloading all that stuff simultaneously & the phone executes it like a piece of cake. Im impressed by how it handles multitasking. As of now its been 15 days & still no heating issues so far. Watching videos in this device feels awesome, seriously 18:9 aspect ratio makes you love your phone even more. And yeah! the dash charging surely it really helps you during emergency, once you use it then you will understand the love that I have for dash charging. Only thing that I wished in this phone was IP certification for water resistance, but hold on the other day my little brother slipped my phone into the water bucket then after drying out all the water from my phone(using hair dryer) voila it was back to its original state. But please dont start experimenting with this device because it doesnt recommend water resistant certification but still it gives you some amount of protection toward splashing which is really a good thing. If i have got to recommend anybody to buy a best phone(2017) which covers all the spectrum then my friend this is the phone. Trust me you wont regret (from a 15 day heavy, rough, reckless user. )"
Five Stars,Awesome...just love it....and thanks to amazon for super fast delivery.
One plus 5t just a good mobile,"Good mobile but dont expect miracles from it if ur not social networking user or student coz in that case It will just a mobile with good displayPrevious Mobile Mi Note4I miss d Mi UIOP5T#Camera is pretty good#Processor is good#No heating issues#A full charge can give u 1.5days for average userDash charger is boon for father like me whosChild not give enough time for charging ,?#front camera is also good#slim n easy to handle with one hand n lightweight#display is good but not exceptional#finger print recognition is not that good as mi note 4#face recognition was very fast at some point in low light but sometimes doesnt recognise in bright light not expected from OP"
Heavenly.,"The OxygenOs is an absolute treat to use. The phone is faster than ever. The YouTube videos regarding its face unlock cannot be more true. It packs a strong processor with more than enough amount of RAM enabling high performance and multitasking. The battery is not so great though the accuracy of dash charging compensates for it. The gameplay is absolutely phenomenal. The rainbow reflection some people were talking about is hardly noticeable. The camera is top-notch. Be it dark light photography, portrait mode, pro mode or documents, its results are extremely satisfying. The fingerprint scanner is at a very comfortable position and the display adds to its aesthetic build.However, i expect an Oreo update soon."
"As they say in The Office, A Win-Win-Win scenario","First of all, I am using the phone for about 3 weeks now and my initial conclusions are provided below. However, I think a little background will be helpful for some perspective.I was eagerly waiting for the Galaxy A8+ to launch and was 90% sure about buying it, mainly of the points I am about to mention:#1 Camera is recessed from the back plane and not protruding outwards. This is a big deal for me.#2 IP certification, which we don’t know will be needed or not but having it doesn’t hurt.#3 Service quality is definitely better, at least in terms of presence.But the following facts veered me towards 5T:#1 There are three things you need to know about Oxygen is. It’s fast, fast and super fast. I certainly am enjoying this right now.#2  Samsung A8+ looks ugly. It’s as simple as that. But maybe that’s just me.#3 Dash charge. Read about it. It boggled my mind that other manufacturers don’t do this. I am sorry I can’t explain to you about this elaborately in this forum but if you are serious, go google. The speed is insane, yes, but the concept and execution by one plus even better still.The phone is super fast, screen is insane, guaranteed second look and positive reactions by others about the phone. I didn’t know face unlock could be that fast. Again, have to experience it. Even the youtube videos that I saw can’t justify it. The phone charging I have already talked about and the battery is also pretty good. I can go on and on but other users have already covered a great deal about this. I definitely am super satisfied and would recommend it to my friends blindly.But just as important are the ones that I am about to mention:#1  The camera protruding is a bit of an issue for me as I wear jeans and ride bike on a daily basis, and other users have posted pictures that show dust under the camera lens. It won’t be visible when checked daily but you look closely at it after a year’s use and Wham! it’s got scratches. It certainly did with my HTC and I am pretty sure it happens to all brands. I just wish all manufacturers used the Sony Ericsson K810i as their model.#2 The charger provided in India ranges from 200-240 volts, so low voltage and international compatibility can be an issue.#3 I really would have liked the option of external memory. It’s not a matter of storage issue as much as a security/convenience issue. You can pretty much take out the card and lend the phone to others, or don’t have to copy everything when upgrading. Or to transfer data, just take out the card and lend it to others without having to lend the phone itself.In conclusion, I am happy I bought the 5T and I was proven right by one plus team. I mean, Oreo in a flagship :) , not that I will be upgrading anytime soon."
Best features with nominal pricing,"A great phone which can easily compete with i phone x.I am writing this review after using it for 2 weeksPros: 1.Very sleak design, light weight and metallic finish takes the phone to a whole next level. 2.Processor, which never hangs in any of the complicated apps that you may use.3. Camera quality is one of its USP.4. Dash charging can get a 75% charge, just in 15 mins from 0% battery.5. Face recognition is working absolutely fine and touch sensor at back is neatly made.Cons:1. Battery gets drained within 8 hrs, with a normal usage.2. The phone gets heated to an extent.Overall, its one of the best phones to invest, without much research reqd."
EXCELLENT WITH THIS PRICE :),"FROM 2012 I AM USING ANDROID MOBILES. AND DAY BY DAY ALL GETTING UPDATED. THIS 1+5T WAS MY FIRST HIGH VALUE MOBILE AND THE EXPERIENCE WAS SMOOTH.I AM USING THIS MOBILE FOR 5 DAYS,BASED ON THAT I AM GIVING YOU THE RATING.CAMERA- 5/5DISPLAY- 5/5CALLING CLARITY - 5/5GPS - 5/5GAMES - 5/5 ( IN THIS EARTH ANY ANDROID GAMES SUPPORTED TILL NOW)LOUD SPEAKERS - 4/5  (AS ONLY ONE SIDE SPEAKER WAS BUILT)DASH CHARGING - 5/5INTERNET SURFING - 5/5BATTERY - 4/5LOOKS AND WEIGHT - STYLISH AND LIGHT.LASTLY DELIVER -  AWESOME WITH IN 56 HRS I HAVE RECEIVED THIS PRODUCT."
A Great Phone Worth Your Money,"I bought this phone after checking many reviews. I compromised on few things due the price it carried. Below are the pros and cons after 1 month of usage.Pros : The phone is superfast. Without any lag ever. This was seen in all areas. Even connecting to wifi and somehow 4G speed is better. I have unistalled many apps and never seen uninstallation screen. Face unlock is magic. With the screen light option it even works in extreme dark conditions. It cannot be tricked and is amazingly fast. The battery and charging are also very good. I normally start charging from 20% and stop around 80%. This charge happens in no time. And battery is equally good. I love dark themes and amoled screen helps it. I keep waiting to charge the phone as my last phone had battery problems. I use saavn in office and watch atleast an hour of videos when not in office.The battery survived my work day even when it was at 66% in morning. The screen is great , my previous phone had IPS display. Also, this may be a compromise for people who have used phones with UHD screen. There are many settings to personalise the phone. A great point and shoot camera with portrait mode.Cons : Box did not include headphones. One speaker. My previous phone had beats audio with two speakers. So this was a let down. Night mode, zoomed photos are not so amazing. This was known to me. Panaromic view is a disappointment with multiple vertical lines introduced in the photo. The biggest con is Oneplus itself. I think they are not working on security. There have been two instances of breach from the time I purchased this phone. One with the credit card and other with data getting send to China. And Oneplus has not taken these two seriously. If they want to survive in the flagship phones market, they have to do more than what they did.This my first Oneplus phone, the phone is good. But i will wait and see where company wants to take itself. For person buying a flagship phone security is everything."
"Superb! Top value for money android with 90% of the features which ivy-league devices have to offer, at half the price.","Excellent phone. Im very happy with it. Best bang for your bucks. The in-hand feel is spectacular. Devices felt very well balanced & the weight distribution is almost spot on - this is something which Apple has executed well in the past. Glad to see OnePlus paying attention to these details. The screen is bright, clear & unless you pixel-peep with a magnifying glass, you wont notice any pixelation. Battery life is also acceptable, lasts for a day & topping it up with the dash-charger is easy-peasy.Photo quality is mostly great under normal conditions and unacceptable in darker situations. But thats okay with me. I didnt pay a small fortune like I would have for getting an ivy-league iphone or a Pixel. Overall, great phone & I dont see myself upgrading or changing anytime soon. This phone offers all the phone I would need for the time being."
Otherwise its a amazing phone. Keep up opo,Mine was a case of upgrade from one plus 1 to this phone. It was a heartily decision which I feel was correct. Only issue is a minor lag which is there while unlocking. Otherwise its a amazing phone. Keep up opo !
